params,total_cycles,total_cost
1 0 1 1 1 2 1 0 2 0,13659022.8125,5291.228851803658
1 2 2 0 0 2 0 0 0 0,3496660.0,3863.1241901832223
2 0 2 2 3 1 2 1 1 0,2146196.25,27096.698167649236
3 1 0 0 1 1 0 0 0 0,2012270.0,5203.8142434371875
3 3 0 3 0 0 2 1 1 0,542947.5,27016.64900891717
0 2 0 2 2 2 2 1 1 0,2989580.625,9196.199966083142
1 0 1 1 1 2 1 1 0 0,4677780.0,5291.228851803658
1 2 2 0 0 2 0 0 1 0,5186913.75,3863.1241901832223
2 0 2 2 3 1 2 1 2 0,3866891.875,27096.698167649236
2 2 3 1 2 1 1 0 2 0,2776137.5,22380.617535928264
3 1 0 0 1 1 0 0 1 0,3347600.625,5203.8142434371875
3 3 0 3 0 0 2 1 2 0,658825.0,27016.64900891717
0 2 0 2 2 2 3 0 0 0,1845445.0,10732.199966083142
1 0 1 1 1 2 1 1 1 0,7240646.25,5291.228851803658
1 2 2 0 0 2 0 0 2 0,8535922.1875,3863.1241901832223
2 0 2 2 3 1 3 0 0 0,1249520.0,36312.698167649236
2 2 3 1 2 1 1 1 0 0,766100.0,22380.617535928264
3 1 0 0 1 1 0 0 2 0,6716036.875,5203.8142434371875
3 3 0 3 0 0 3 0 0 0,314915.0,33160.64900891717
0 2 0 2 2 2 3 0 1 0,2857432.5,10732.199966083142
1 0 1 1 1 2 1 1 2 0,13658737.8125,5291.228851803658
1 2 2 0 0 2 0 1 0 0,3495400.0,3863.1241901832223
2 0 2 2 3 1 3 0 1 0,2122093.125,36312.698167649236
2 2 3 1 2 1 1 1 1 0,1265473.125,22380.617535928264
3 1 0 0 1 1 0 1 0 0,2011370.0,5203.8142434371875
3 3 0 3 0 0 3 0 1 0,487732.5,33160.64900891717
0 2 0 2 2 2 3 1 0 0,1845265.0,10732.199966083142
1 0 1 1 1 2 2 1 0 0,4532130.0,7979.228851803658
1 2 2 0 0 2 0 1 1 0,5186306.25,3863.1241901832223
2 0 2 2 3 1 3 0 2 0,3837685.3125,36312.698167649236
2 2 3 1 2 1 1 1 2 0,2775971.25,22380.617535928264
3 1 0 0 1 1 0 1 1 0,3347128.125,5203.8142434371875
3 3 0 3 0 0 3 0 2 0,589290.9375,33160.64900891717
0 2 0 2 2 2 3 1 1 0,2857365.0,10732.199966083142
1 0 1 1 1 2 2 1 1 0,7033815.0,7979.228851803658
1 2 2 0 0 2 0 1 2 0,8535708.4375,3863.1241901832223
2 0 2 2 3 1 3 1 0 0,1248750.0,36312.698167649236
2 2 3 1 2 1 2 0 0 0,731910.0,30444.617535928264
3 1 0 0 1 1 0 1 2 0,6715823.125,5203.8142434371875
3 3 0 3 0 0 3 1 0 0,314915.0,33160.64900891717
0 2 0 2 3 0 0 0 0 0,2564925.0,15824.018919801698
1 0 1 1 1 2 2 1 2 0,13356679.375,7979.228851803658
1 2 2 0 0 2 1 0 0 0,3345485.0,6423.124190183223
2 0 2 2 3 1 3 1 1 0,2121699.375,36312.698167649236
2 2 3 1 2 1 2 0 1 0,1219173.75,30444.617535928264
3 1 0 0 1 1 1 0 0 0,1668300.0,7763.8142434371875
3 3 0 3 0 0 3 1 1 0,487732.5,33160.64900891717
0 2 0 2 3 0 0 0 1 0,4035183.75,15824.018919801698
1 0 1 1 1 2 3 1 0 0,4495370.0,12587.228851803658
1 2 2 0 0 2 1 0 1 0,4985280.0,6423.124190183223
2 0 2 2 3 1 3 1 2 0,3837519.0625,36312.698167649236
2 2 3 1 2 1 2 0 2 0,2720562.5,30444.617535928264
3 1 0 0 1 1 1 0 1 0,3106693.125,7763.8142434371875
3 3 0 3 0 0 3 1 2 0,589290.9375,33160.64900891717
0 2 0 2 3 0 0 1 0 0,2564925.0,15824.018919801698
1 0 1 1 1 2 3 1 1 0,6980906.25,12587.228851803658
1 2 2 0 0 2 1 0 2 0,8301842.1875,6423.124190183223
2 0 2 2 3 2 0 0 0 0,1470850.0,17880.698167649236
2 2 3 1 2 1 2 1 0 0,729600.0,30444.617535928264
3 1 0 0 1 1 1 0 2 0,6417873.4375,7763.8142434371875
3 3 0 3 0 1 0 0 0 0,788080.0,20872.64900891717
0 2 0 2 3 0 0 1 1 0,4035183.75,15824.018919801698
1 0 1 1 1 2 3 1 2 0,13279183.125,12587.228851803658
1 2 2 0 0 2 1 1 0 0,3336665.0,6423.124190183223
2 0 2 2 3 2 0 0 1 0,2483583.75,17880.698167649236
2 2 3 1 2 1 2 1 1 0,1217992.5,30444.617535928264
3 1 0 0 1 1 1 1 0 0,1667400.0,7763.8142434371875
3 3 0 3 0 1 0 0 1 0,1313572.5,20872.64900891717
0 2 0 2 3 0 1 0 0 0,1724910.0,16464.018919801696
1 0 1 1 2 0 0 0 0 0,3838435.0,4429.701911564724
1 2 2 0 0 2 1 1 1 0,4981027.5,6423.124190183223
2 0 2 2 3 2 0 0 2 0,4335016.25,17880.698167649236
2 2 3 1 2 1 2 1 2 0,2720063.75,30444.617535928264
3 1 0 0 1 1 1 1 1 0,3106220.625,7763.8142434371875
3 3 0 3 0 1 0 0 2 0,1947108.125,20872.64900891717
0 2 0 2 3 0 1 0 1 0,2731561.875,16464.018919801696
1 0 1 1 2 0 0 0 1 0,6233799.375,4429.701911564724
1 2 2 0 0 2 1 1 2 0,8300345.9375,6423.124190183223
2 0 2 2 3 2 0 1 0 0,1470850.0,17880.698167649236
2 2 3 1 2 1 3 1 0 0,720080.0,44268.617535928264
3 1 0 0 1 1 1 1 2 0,6417659.6875,7763.8142434371875
3 3 0 3 0 1 0 1 0 0,788080.0,20872.64900891717
